Srpr,signal recognition particle receptor (docking protein)
Srsf1,serine/arginine-rich splicing factor 1
Srsf5,serine/arginine-rich splicing factor 5
Stat3,signal transducer and activator of transcription 3 (acute-phase response factor)
Sulf1,sulfatase 1
Syt3,synaptotagmin III
Tcf4,transcription factor 4
Tm9sf1,transmembrane 9 superfamily member 1
Tmem125,transmembrane protein 125
Tp53inp2,tumor protein p53 inducible nuclear protein 2
Trib2,tribbles pseudokinase 2
Trim46,tripartite motif containing 46
Trim55,tripartite motif containing 55
Trpc4ap,"transient receptor potential cation channel, subfamily C, member 4 associated protein"
Tspan7,tetraspanin 7
Tyro3,TYRO3 protein tyrosine kinase
Ube2b,ubiquitin-conjugating enzyme E2B
Uso1,USO1 vesicle transport factor
Wfikkn2,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2"
Xpnpep1,"X-prolyl aminopeptidase (aminopeptidase P) 1, soluble"
Yipf5,"Yip1 domain family, member 5"
Zbtb47,zinc finger and BTB domain containing 47
